title,dataPath,imgPath,caption,first_caption,chartType,release date,Region,survey time period,xAxis,yAxis,URL,columns,length,File_No
"
                        Real Gross Domestic Product (GDP) of the federal state of Indiana from 2000 to 2019 
                    
                            (in billion U.S. dollars)
                        ",out/two_col/data/10626.csv,out/two_col/imgs/10626.png," This statistic shows the development of Indiana's real GDP from 2000 to 2019. In 2019, the real GDP of Indiana was 332.04 billion U.S. dollars. "," This statistic shows the development of Indiana's real GDP from 2000 to 2019. In 2019, the real GDP of Indiana was 332.04 billion U.S. dollars. ",line,Apr-20,United States,2000 to 2019,Unnamed: 0,Real GDP in billion U.S. dollars,https://www.statista.com/statistics/187866/gdp-of-the-us-federal-state-of-indiana-since-1997/,,,two_col-10626.txt
"
                        Iran: Share of economic sectors in gross domestic product (GDP) in 2017
                    ",out/two_col/data/4778.csv,out/two_col/imgs/4778.png," This statistic shows the share of economic sectors in Iran's gross domestic product (GDP) in 2017. All figures are estimates. In 2017, agriculture was estimated to contribute 9.6 percent to Iran's GDP. "," This statistic shows the share of economic sectors in Iran's gross domestic product (GDP) in 2017. All figures are estimates. In 2017, agriculture was estimated to contribute 9.6 percent to Iran's GDP. ",column,Jul-19,Iran,2017,Unnamed: 0,Share in total GDP,https://www.statista.com/statistics/294534/iran-share-of-economic-sectors-in-gdp/,,,two_col-4778.txt
"
                        Ranking of film distributors in France in 2019, according to their market share
                    ",out/two_col/data/24075.csv,out/two_col/imgs/24075.png," This bar chart shows the top ten distributors of films in France in 2019, by market share. That year, Warner Bros came in second position of this ranking with 10.3 percent of the market share in France. "," This bar chart shows the top ten distributors of films in France in 2019, by market share. That year, Warner Bros came in second position of this ranking with 10.3 percent of the market share in France. ",bar,Apr-20,France,2019,Unnamed: 0,Market share,https://www.statista.com/statistics/1031539/distributors-movies-film-leaders-market-share-france/,,,two_col-24075.txt
"
                        Estimated net worth of the wealthiest video game industry entrepreneurs worldwide as of July 2016 
                    
                            (in billion U.S. dollars)
                        ",out/two_col/data/7798.csv,out/two_col/imgs/7798.png," The graph shows the estimated net worth of the wealthiest entrepreneurs in the video game industry worldwide as of July 2016. According to the source, Ma Huateng, the founder and chairman as well as CEO of Tencent, was worth 21.9 billion U.S. dollars in the measured period. Overall, Tencent reported 70.84 billion Chinese yuan revenue from its online games in 2016. Tencent is famous for expanding its operations, and so it comes as no surprise that the company spends millions of dollars on acquisitions of many international gaming companies. As of June 2016, Tencent invested over 700 million U.S. dollars combined in Epic Games, Riot Games and Activision Blizzard. "," The graph shows the estimated net worth of the wealthiest entrepreneurs in the video game industry worldwide as of July 2016. According to the source, Ma Huateng, the founder and chairman as well as CEO of Tencent, was worth 21.9 billion U.S. dollars in the measured period. Overall, Tencent reported 70.84 billion Chinese yuan revenue from its online games in 2016. Tencent is famous for expanding its operations, and so it comes as no surprise that the company spends millions of dollars on acquisitions of many international gaming companies. As of June 2016, Tencent invested over 700 million U.S. dollars combined in Epic Games, Riot Games and Activision Blizzard. ",bar,Jul-16,Worldwide,Jul-16,Entrepreneur (company),Net worth in billion U.S. dollars,https://www.statista.com/statistics/435308/richest-video-game-industry-people/,,,two_col-7798.txt
"
                        How much electricity is generated from a unit of coal, natural gas and oil in the U.S.? 
                    
                            (in kilowatt hours)
                        ",out/two_col/data/3018.csv,out/two_col/imgs/3018.png," The amount of fuel used to generate electricity depends on the efficiency of the power plant and the heat content of the fuel. Heat rate measures the efficiency of a generator or power plant and is based on the amount of energy used to generate one kilowatt of electricity. Heat rates (power plant efficiencies) depend on generator type, power plant emission controls, and some other factors. One metric ton of coal can generate 1,927 kilowatt hours of electricity, in comparison to 1,000 cubic feet of natural gas which can generate 99 kilowatt hours. U.S. power plants The largest power plant in the United States is the hydroelectric power plant, Grand Coulee, located in Washington. It has a summer capacity of 7.08 gigawatts. Power plant costs can also depend on the type of technology being used as well as the location. The amount of energy generated by renewable technologies can also vary greatly, depending on size, technology, and location potential. For example, the measured efficiency of solar cells can vary greatly depending on the material used. In the United States, about 17.7 percent of electricity generated is derived from renewable sources. "," The amount of fuel used to generate electricity depends on the efficiency of the power plant and the heat content of the fuel. Heat rate measures the efficiency of a generator or power plant and is based on the amount of energy used to generate one kilowatt of electricity. Heat rates (power plant efficiencies) depend on generator type, power plant emission controls, and some other factors. One metric ton of coal can generate 1,927 kilowatt hours of electricity, in comparison to 1,000 cubic feet of natural gas which can generate 99 kilowatt hours. ",bar,Feb-16,United States,2014,Fuel per unit,Electricity generation in kilowatt hours,https://www.statista.com/statistics/216613/electricity-generated-per-unit-of-fuel-used/,,,two_col-3018.txt
"
                        Number of people globally that suffered from select mental health or substance use disorders as of 2017 
                    
                            (in millions)
                        ",out/two_col/data/14791.csv,out/two_col/imgs/14791.png," This statistic depicts the number of people worldwide with select mental health and substance use disorders as of 2017. According to the data, a total of 284 million people worldwide suffered from anxiety as of this time. "," This statistic depicts the number of people worldwide with select mental health and substance use disorders as of 2017. According to the data, a total of 284 million people worldwide suffered from anxiety as of this time. ",bar,Aug-19,Worldwide,2017,Unnamed: 0,Number of people in millions,https://www.statista.com/statistics/979869/number-of-people-with-mental-health-disorders-globally/,,,two_col-14791.txt
"
                        Value growth of personal care products due to coronavirus COVID-19 among urban citizens in Vietnam in 2020
                    ",out/two_col/data/13546.csv,out/two_col/imgs/13546.png," After the COVID-19 outbreak, also commonly known as coronavirus, mouthwash had a value growth of 75 percent, followed by soap, shower gel, hand wash and paper towels. Nevertheless, a survey conducted among urban citizens showed that the majority of the respondents have decreased their frequency of visiting supermarkets, grocery stores and wet markets. "," After the COVID-19 outbreak, also commonly known as coronavirus, mouthwash had a value growth of 75 percent, followed by soap, shower gel, hand wash and paper towels. Nevertheless, a survey conducted among urban citizens showed that the majority of the respondents have decreased their frequency of visiting supermarkets, grocery stores and wet markets. ",bar,Mar-20,Vietnam,2020,Unnamed: 0,Growth in value,https://www.statista.com/statistics/1102870/vietnam-growth-of-hygiene-products-due-to-covid-19/,,,two_col-13546.txt
"
                        Estimated global interventional cardiology market in 2013, by product type 
                    
                            (in million U.S. dollars)
                        ",out/two_col/data/21305.csv,out/two_col/imgs/21305.png," This statistic shows the size of the interventional cardiology market worldwide in 2013, by product type. In that year, the PTCA (percutaneous transluminal coronary angioplasty) balloons market generated a revenue of some 800 million U.S. dollars worldwide. "," This statistic shows the size of the interventional cardiology market worldwide in 2013, by product type. In that year, the PTCA (percutaneous transluminal coronary angioplasty) balloons market generated a revenue of some 800 million U.S. dollars worldwide. ",column,2017,United States,as of June 2015,Unnamed: 0,Market size in million U.S. dollars,https://www.statista.com/statistics/750796/interventional-cardiology-market-by-product-globally/,,,two_col-21305.txt
"
                        Percentage of income held by the richest 20% of the population in the Dominican Republic from 2010 to 2016
                    ",out/two_col/data/14472.csv,out/two_col/imgs/14472.png," In 2016, it was estimated that around 51.5 percent of the income generated in the Dominican Republic was held by the richest 20 percent of its population. This share has shown a slight upward tendency since 2014, when it stood at 50.2 percent. The level of wealth concentration was also high among other Latin American countries. "," In 2016, it was estimated that around 51.5 percent of the income generated in the Dominican Republic was held by the richest 20 percent of its population. This share has shown a slight upward tendency since 2014, when it stood at 50.2 percent. The level of wealth concentration was also high among other Latin American countries. ",column,Oct-19,Dominican Republic,2010 to 2016,Unnamed: 0,Share of income held by richest 20%,https://www.statista.com/statistics/1075317/dominican-republic-income-inequality/,,,two_col-14472.txt
"
                        Global netbook shipments from 2008 to 2013 
                    
                            (in million units)
                        ",out/two_col/data/16521.csv,out/two_col/imgs/16521.png," The forecast illustrates the number of global netbook shipments between 2008 and 2013. In 2008, netbook vendors shipped 16 million devices worldwide. Global netbook shipment is expected to decline over the next few years as tablet PCs take market share away. "," The forecast illustrates the number of global netbook shipments between 2008 and 2013. In 2008, netbook vendors shipped 16 million devices worldwide. Global netbook shipment is expected to decline over the next few years as tablet PCs take market share away. ",column,Feb-12,Worldwide,2008 to 2010,Unnamed: 0,Shipments in million units,https://www.statista.com/statistics/183654/shipments-of-netbooks-worldwide-since-2008/,,,two_col-16521.txt
