old_id,title,imgPath,caption,URL,dataPath,chartType,complexity,topic,bboxesPath,File_No,ocr-text
no_data-9224,Conservative and Reform movements do not have a major presence in Israel % of Israeli Jews who identify with,multiColumn/imgs/3974.png,"The survey asked Jews in Israel whether they identify with any of these international streams of Judaism, acknowledging that some of them may not be familiar to respondents. In Israel, very few Jews identify with Conservative (2%) or Reform (3%) Judaism, while half (50%) identify with Orthodoxy – including many Jews who are not highly religiously observant but may still be most familiar with Orthodox Judaism. About four-in-ten Israeli Jews (41%) do not identify with any of these three streams or denominations of Judaism.",https://www.pewresearch.org/fact-tank/2016/03/15/unlike-u-s-few-jews-in-israel-identify-as-reform-or-conservative/,multiColumn/data/3974.txt,bar,complex,Religion & Public Life,multiColumn/bboxes/3974.json,multi_col-3974.txt,"Conservative and Reform movements do not have  | a major presence in Israel  | % of Israeli Jews who identify with  | No particular  | movement or  | Orthodox  | Other  | Conservative Reform  | stream  | All Jews  | 50%  | 41  | Haredi  | 96  | Dati  | 88  | 9  | 65  | 27  | Masorti  | 23  | 5  | 64  | Hiloni  | Source: Survey conducted October 2014 May 2015 Don it know/refused  | responses not shown.  | Israeli Jews were asked if they identify with streams or movements within Judaism  | common in the U.S The terms ""Orthodox, Conservative and ""Reform were  | transliterated as English terms See survey topline for full question wording.  | PEW RESEARCH CENTER "
no_data-8808,"U.S. migrant origins less diverse than European Union's % of total internationalmigrants in the US/EU who are from each of their top four origin countries United States EU, Norway &Switzerland",multiColumn/imgs/3827.png,"But while the U.S and EU have large migrant populations from many parts of the world, the origins of U.S. migrants are less diverse. About a quarter (26%) of all immigrants in the U.S. come from just one country – Mexico. By contrast, Turkey was the top origin country for EU migrants (excluding internal migrants) in 2015 – but its 8% share does not nearly rival Mexico’s in the U.S.",https://www.pewresearch.org/fact-tank/2016/06/22/about-four-in-ten-of-the-worlds-migrants-live-in-the-u-s-or-europe/,multiColumn/data/3827.txt,bar,complex,Global Attributes & Trends,multiColumn/bboxes/3827.json,multi_col-3827.txt,"U.S. migrant origins less diverse than  | European Union's  | % of total internationalmigrants in the US/EU who are  | from each of their top four origin countries  | United States  | Mexico  | 26  | China  | India  | Philippines  | EU, Norway &Switzerland  | Turkey  | Morocco  | Russia  | Algeria  | 5  | Note: The UN counts migrants who are citizens ofa country born  | abroad or in its territories as international migrants. Calculations to  | migrants in the European Union do notinclude intema migrants  | (i. those relocating from other EU nations).  | Source: United Nations Population Division, 2015  | PEW RESEARCH CENTER "
no_data-15449,Campaign News Interest: 2008- -2012 % following campaign news very closely 60,multiColumn/imgs/6140.png,"Public interest in news about the campaign is lower than it was in October 2008. Currently 48% say they are following news about the election very closely. That is the highest percentage this year, though not significantly different from the previous two weeks, (45% in Oct. 12-14 and Oct. 4-7).
At a comparable point in mid-October 2008 (Oct. 17-20), 61% said they were following campaign very closely – the highest percentage of the campaign. Interest fell to 44% the following week, before rebounding to 57% the weekend before the election.",https://www.pewresearch.org/politics/2012/10/23/republicans-increasingly-positive-about-campaign/,multiColumn/data/6140.txt,line,complex,U.S. Politics & Policy,multiColumn/bboxes/6140.json,multi_col-6140.txt,Campaign News Interest:  | 2008- -2012  | % following campaign news very closely  | 60  | 2007-2008  | Chraplaw 2011-2012  | 2011-2012  | 50  | 40  | 30  | 20  | 10  | a  | Jan  | Apr  | Jul  | Oct  | PEW RESEARCH CENTER 
no_data-12399,"Stand ling Rock Sioux Reservation: By the Numbers As President Obama visits the Standing Rock Sioux Reservation in the Dakotas, let's look at some demographics about the reservation's residents Median Age, 2012",multiColumn/imgs/5278.png,"On his visit to the Standing Rock Sioux Tribe in North Dakota today, President Obama is using his first stop at a Native American reservation while in office to highlight the challenges Native Americans face. In an op-ed published in Indian Country Today, Obama called the poverty and high school dropout rates among Native Americans “a moral call to action.”
The poverty rate at Standing Rock Reservation is 43.2%, nearly triple the national average, according to Census Bureau data. The reservation, which straddles North Dakota and South Dakota, has a population of 8,956, according to the Bureau of Indian Affairs.",https://www.pewresearch.org/fact-tank/2014/06/13/1-in-4-native-americans-and-alaska-natives-are-living-in-poverty/,multiColumn/data/5278.txt,bar,complex,Social & Demographic Trends,multiColumn/bboxes/5278.json,multi_col-5278.txt,"Stand ling Rock Sioux Reservation: By the Numbers  | As President Obama visits the Standing Rock Sioux Reservation in  | the Dakotas, let's look at some demographics about the  | reservation's residents  | Median Age, 2012  | Standing Rock  | ULS Median  | Sioux Reservation  | 28  | 50  | YRS  | Educational Atta inment  | Less than high school  | Standing Rock  | 19%  | All U.S  | 14  | Bachelor's degree or higher  | Standing Rock  | 15%  | All U.S  | 29  | Poverty Rate  | Standing Rock  | 43%  | All U.S  | 15  | Note: Educational attainment among adults 25+  | Source 2012 Ame rican Community Survey (5-year estimates)  | PEW RESEARCH CENTER GRAPHIC BY JESSICA SCHILLINGER "
no_data-14980,How to U.S Handle Illegally? Immigrants Living ,imgs/1192.png,"A survey in March found that 71% of Americans say there should be a way for people in the United States illegally to remain in this country if they meet certain requirements, while 27% say they should not be allowed to stay legally.
But there is a division of views among the 71% who support finding a way for immigrants here illegally to stay.
Roughly four-in-ten (43%) of the public says unauthorized immigrants should be allowed to apply for citizenship, but 24% of the public says they should only be allowed to apply for legal residency.",https://www.pewresearch.org/fact-tank/2013/04/09/big-majority-favors-a-way-for-immigrants-to-stay-legally-in-u-s-but-citizenship-more-divisive/,data/1192.txt,pie,simple,Uncategorised,bboxes/1192.json,two_col-1192.txt,"How to U.S Handle Illegally? Immigrants Living  | lin the U.S Illegally? Immigrants  | 71%  | There should be  | a sway for them  | 2% Don't know-  | to stay legally  | 27%  | Should not  | be allowed to  | 43%  | stay legally  | Be eligible  | for citizenship  | 24%  | Be eligible  | for permanent  | 4%  | residency  | Don't  | know  | PEW RESEARCH CENTER March 13-17, 2013, "
no_data-1194,Democrats with less education more likely to split with party on abortion % of U.S. adults who say they agree or don't agree with their party on abortion policy Among Republicans/ lean Rep.,multiColumn/imgs/624.png,"Overall, roughly one-third of Americans who identify as Republican or as Republican-leaning independents do not agree with their party on abortion (35%), including 12% who say they agree with the Democratic Party on abortion and 23% who say they do not agree with either party. Among Democrats and Democratic-leaning independents, three-in-ten do not agree with their party on abortion, including 7% who say they agree with the GOP and 22% who say they don’t agree with either party. (The same 2019 survey found that roughly a fifth to a third of Americans don’t agree with their party on issues including policies to deal with the economy, health care and illegal immigration.)",https://www.pewresearch.org/fact-tank/2020/06/18/three-in-ten-or-more-democrats-and-republicans-dont-agree-with-their-party-on-abortion/,multiColumn/data/624.txt,bar,complex,U.S. Politics & Policy,multiColumn/bboxes/624.json,multi_col-624.txt,"Democrats with less education more likely to split with party on abortion  | % of U.S. adults who say they agree or don't agree with their party on abortion policy  | Among Republicans/ lean Rep.  | Among Democrats/ lean Dem.  | SENET Agree Agree with  | Don It  | SENET Agree Agree with  | Don't  | NET Don't  | SENET Don't  | with  | agree with agree with  | with  | agree with agree with  | with own  | with own  | Dems either party own party  | Reps either party own party  | party  | party  | Total  | Total  | 64%  | 12% 23%  | 35%  | 70%  | % 22%  | 29%  | grad. High school less  | High school  | 62  | 10  | 27  | 37  | 56  | 33  | 42  | grad. High or school less  | grad. High or less  | Some college  | Some college  | 68  | 10 22  | 32  | 70  | 5 24  | 29  | graduate+ College  | graduate+ College  | 64  | 19  | 17  | 36  | 84  | 5 10  | 16  | graduate+ College  | graduate+ College  | 15  | 55  | 30  | 45  | 68  | 8  | 22  | 30  | Ages 18-29  | Ages 18-29  | 57  | 19  | 24  | 68  | 23  | 30-49  | 42  | 30-49  | 30  | 5 24  | 68  | 21  | 30  | 69  | 29  | 50-64  | 9  | 50-64  | 74  | 19  | 76  | 19  | 23  | 65+  | 65+  | 25  | Note: Those who did not answer are not shown  | Source: Survey of U.S adults conducted July 22-Aug. 4, 2019  | PEW RESEARCH CENTER "
no_data-12123,Wide Racial Divides Persist over Fair Treatment of Blacks % saying blacks in their community are treated less fairly than whites In dealing with the police In the courts In stores or restaurants,multiColumn/imgs/5177.png,"Seven-in-ten blacks said that blacks in their community were treated less fairly than whites in dealings with the police. In comparison, 37% of whites and 51% of Hispanics held that view. Also, 68% of blacks said that the court system was unfair to blacks, far more than whites (27%) or Hispanics (40%).",https://www.pewresearch.org/fact-tank/2014/08/12/vast-majority-of-blacks-view-the-criminal-justice-system-as-unfair/,multiColumn/data/5177.txt,bar,complex,U.S. Politics & Policy,multiColumn/bboxes/5177.json,multi_col-5177.txt,"Wide Racial Divides Persist over  | Fair Treatment of Blacks  | % saying blacks in their community are treated less  | fairly than whites  | In dealing with the police  | Whites  | 70  | Blacks  | Hispanics  | In the courts  | Whites  | Blacks  | 68  | 40  | Hispanics  | On the job or at work  | Whites  | 16  | Blacks  | 54  | 40  | Hispanics  | In stores or restaurants  | Whites  | 16  | Blacks  | 35  | Hispanics  | In local publicschools  | Whites  | 15  | Blacks  | 51  | Hispanics  | In getting health care  | Whites  | 14  | Blacks  | Hispanics  | 36  | When voting in elections  | Whites  | 13  | 48  | Blacks  | 30  | Hispanics  | Note: Blacks and whites include only non-Hispanics  | Hispanics Note: Blacks n=376; may and be for whites of Hispanics any include race For n=218, only whites non-Hispanics n=1,471; for  | PEW RESEARCH CENTER  | Q13 "
no_data-4209,The most-active Twitter bots produce a large share of the links to popular news and current events websites Share of tweeted links to popular news and currentevents websites posted,imgs/292.png,"18“Bots” on Twitter may be behind more link sharing than human beings. An estimated two-thirds of tweeted links to popular news and media websites (66%) are posted by automated accounts, while around a third (34%) are posted by human accounts, based on a sample of tweets from 2017. A relatively small number of highly active bots appear to be responsible for many of those links.",https://www.pewresearch.org/fact-tank/2018/12/13/18-striking-findings-from-2018/,data/292.txt,bar,simple,U.S. Politics & Policy,bboxes/292.json,two_col-292.txt,"The most-active Twitter bots produce a large share of  | the links to popular news and current events websites  | Share of tweeted links to popular news and currentevents websites posted  | by  | Suspected bots  | Human accounts  | 66%  | 34%  | 28  | 22  | 44  | 500 most-active accounts  | 500 most-active accounts  | Source: Analysis of379 .841 tweeted links to 925 popular news and currentevents  | websites collected over the time period July27-Sept. 11 2017.  | ""Bots in the Twittersphere  | PEW RESEARCH CENTER "
no_data-7596,Consistent partisan gaps in favorable views of unions and corporations % who have a favorable view of La bor unions,multiColumn/imgs/3250.png,"Republicans and Democrats have long been divided in their views of labor and business, and that remains the case today: Democrats and Democratic-leaning independents are much more favorable toward labor unions than business corporations, while the inverse is true for Republicans and Republican leaners.
Currently, 76% of Democrats hold a favorable view of unions, while only two-in-ten express an unfavorable one. Among Republicans, fewer than half (44%) say they have a favorable opinion of labor unions.
On the other hand, seven-in-ten Republicans express a positive opinion of business corporations. Democrats are divided: Roughly equal shares say they have a favorable view of business (46%) and an unfavorable one (47%).",https://www.pewresearch.org/fact-tank/2017/01/30/most-americans-see-labor-unions-corporations-favorably/,multiColumn/data/3250.txt,line,complex,Economy & Work,multiColumn/bboxes/3250.json,multi_col-3250.txt,Consistent partisan gaps in favorable  | views of unions and corporations  | % who have a favorable view of  | La bor unions  | Dem/Lean Dem  | Rep/Lean Rep  | 01  | 03 05 07 09 11 13 15 17  | Business corporations  | Rep/Lean Rep  | 70  | 46  | Dem/Lean Dem  | 03  | 05 07  | 01  | 09  | 11  | 13 15 17  | Source: Survey conducted Jan. 4-9 2017.  | PEW RESEARCH CENTER 
no_data-2870,"Broad public opposition to completely overturning Roe V. Wade Would you like to see the Supreme Court completely overturn its Roe versus Wade decision, or not? (%",multiColumn/imgs/1318.png,"The new survey by Pew Research Center, conducted July 22-August 4 among 4,175 adults, also finds little support for overturning Roe v. Wade, the landmark Supreme Court decision that established a woman’s right to an abortion. Seven-in-ten say they do not want to see the Roe v. Wade decision completely overturned; 28% say they would like to see the Supreme Court completely overturn the 1973 decision.",https://www.pewresearch.org/politics/2019/08/29/u-s-public-continues-to-favor-legal-abortion-oppose-overturning-roe-v-wade/,multiColumn/data/1318.txt,bar,complex,U.S. Politics & Policy,multiColumn/bboxes/1318.json,multi_col-1318.txt,"Broad public opposition to completely  | overturning Roe V. Wade  | Would you like to see the Supreme Court completely  | overturn its Roe versus Wade decision, or not? (%  | 69  | 70  | No, do not  | 62  | 63  | 60  | overturn  | Yes, overturn  | 28  | 28  | 29  | 31  | 34  | Roe v. Wade  | Aug  | Dec  | Aug  | Jan  | Jan  | '92*  | '03  | 13  | 16  | 19  | Notes: No answer responses not shown. 2019 data from Pew  | Research Center's online American Trends Panel; prior data from  | telephone surveys.  | * 1992 data from Gallup and based on registered voters  | Source: Survey of U.S adults conducted July 22-Aug 4. 2019  | PEW RESEARCH CENTER "
