number,File_No,title,ocr-text,img,Gold Standard,OCR-BART,OCR-T5
0,multi_col-3974.txt,Conservative and Reform movements do not have a major presence in Israel % of Israeli Jews who identify with,"Conservative and Reform movements do not have  | a major presence in Israel  | % of Israeli Jews who identify with  | No particular  | movement or  | Orthodox  | Other  | Conservative Reform  | stream  | All Jews  | 50%  | 41  | Haredi  | 96  | Dati  | 88  | 9  | 65  | 27  | Masorti  | 23  | 5  | 64  | Hiloni  | Source: Survey conducted October 2014 May 2015 Don it know/refused  | responses not shown.  | Israeli Jews were asked if they identify with streams or movements within Judaism  | common in the U.S The terms ""Orthodox, Conservative and ""Reform were  | transliterated as English terms See survey topline for full question wording.  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-3974.png,"The survey asked Jews in Israel whether they identify with any of these international streams of Judaism, acknowledging that some of them may not be familiar to respondents. In Israel, very few Jews identify with Conservative (2%) or Reform (3%) Judaism, while half (50%) identify with Orthodoxy – including many Jews who are not highly religiously observant but may still be most familiar with Orthodox Judaism. About four-in-ten Israeli Jews (41%) do not identify with any of these three streams or denominations of Judaism.","The survey finds that roughly nine-in-ten Israeli Jews identify with a conservative ideology or stream. But the majority of Israeli Jews also say they do not identify with other political groups or movements within Judaism, including Haredi (88%), Dati (88%) and Masorti (64%).","The problem is that these movements do not have a major presence in Israel. While half of Israeli Jews say they identify with a particular conservative or conservative movement, nearly all (41%) also say they identify with one of the three religious movements included in the survey."
1,multi_col-3827.txt,"U.S. migrant origins less diverse than European Union's % of total internationalmigrants in the US/EU who are from each of their top four origin countries United States EU, Norway &Switzerland","U.S. migrant origins less diverse than  | European Union's  | % of total internationalmigrants in the US/EU who are  | from each of their top four origin countries  | United States  | Mexico  | 26  | China  | India  | Philippines  | EU, Norway &Switzerland  | Turkey  | Morocco  | Russia  | Algeria  | 5  | Note: The UN counts migrants who are citizens ofa country born  | abroad or in its territories as international migrants. Calculations to  | migrants in the European Union do notinclude intema migrants  | (i. those relocating from other EU nations).  | Source: United Nations Population Division, 2015  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-3827.png,"But while the U.S and EU have large migrant populations from many parts of the world, the origins of U.S. migrants are less diverse. About a quarter (26%) of all immigrants in the U.S. come from just one country – Mexico. By contrast, Turkey was the top origin country for EU migrants (excluding internal migrants) in 2015 – but its 8% share does not nearly rival Mexico’s in the U.S.","Americans’ share of international migrants is smaller than that of the European Union. In 2015, migrants from Mexico made up 26% of the total international population in the U.S., less than half of their share from the EU’s four origin countries, according to a Pew Research Center analysis of data from the United Nations.","By contrast, the countries of origin for international migrants in the U.S. are more diverse than those of the EU. For example, 26% of international migrants from Mexico are from the U.S., while 26% are from China, India, Philippines and Switzerland. By contrast, Morocco and Russia account for more than half of international migrants in the U.S. and EU."
2,multi_col-6140.txt,Campaign News Interest: 2008- -2012 % following campaign news very closely 60,Campaign News Interest:  | 2008- -2012  | % following campaign news very closely  | 60  | 2007-2008  | Chraplaw 2011-2012  | 2011-2012  | 50  | 40  | 30  | 20  | 10  | a  | Jan  | Apr  | Jul  | Oct  | PEW RESEARCH CENTER ,pew/dataset/imgs/multi_col-6140.png,"Public interest in news about the campaign is lower than it was in October 2008. Currently 48% say they are following news about the election very closely. That is the highest percentage this year, though not significantly different from the previous two weeks, (45% in Oct. 12-14 and Oct. 4-7).
At a comparable point in mid-October 2008 (Oct. 17-20), 61% said they were following campaign very closely – the highest percentage of the campaign. Interest fell to 44% the following week, before rebounding to 57% the weekend before the election.","Overall, 21% of the public say they have followed news about the potential presidential candidates very closely last week, according to the latest weekly News Interest Index survey, conducted June 30- July 3 among 1,001 adults by the Pew Research Center for the People & the Press. In a week in September, 2011, 44% said they were following the candidates hoping to represent their parties in the 2008 election very closely.","Overall, 21% of the public say they followed news about the potential presidential candidates very closely last week, while 33% say they followed news about the campaign very closely. This is the highest level of interest dating back to at least 2001."
3,multi_col-5278.txt,"Stand ling Rock Sioux Reservation: By the Numbers As President Obama visits the Standing Rock Sioux Reservation in the Dakotas, let's look at some demographics about the reservation's residents Median Age, 2012","Stand ling Rock Sioux Reservation: By the Numbers  | As President Obama visits the Standing Rock Sioux Reservation in  | the Dakotas, let's look at some demographics about the  | reservation's residents  | Median Age, 2012  | Standing Rock  | ULS Median  | Sioux Reservation  | 28  | 50  | YRS  | Educational Atta inment  | Less than high school  | Standing Rock  | 19%  | All U.S  | 14  | Bachelor's degree or higher  | Standing Rock  | 15%  | All U.S  | 29  | Poverty Rate  | Standing Rock  | 43%  | All U.S  | 15  | Note: Educational attainment among adults 25+  | Source 2012 Ame rican Community Survey (5-year estimates)  | PEW RESEARCH CENTER GRAPHIC BY JESSICA SCHILLINGER ",pew/dataset/imgs/multi_col-5278.png,"On his visit to the Standing Rock Sioux Tribe in North Dakota today, President Obama is using his first stop at a Native American reservation while in office to highlight the challenges Native Americans face. In an op-ed published in Indian Country Today, Obama called the poverty and high school dropout rates among Native Americans “a moral call to action.”
The poverty rate at Standing Rock Reservation is 43.2%, nearly triple the national average, according to Census Bureau data. The reservation, which straddles North Dakota and South Dakota, has a population of 8,956, according to the Bureau of Indian Affairs.","About four-in-ten (28%) Sioux City, Mo., residents have a bachelor’s degree or higher, according to 2012 Census Bureau data. In comparison, 19% of all U.S. adults and 15% of the population have a high school degree or less.","A closer look at the demographics of the Standing Rock Sioux Reservation reveals some interesting facts about the reservation. The median age of the reservation residents was 28%, and 28% had no education beyond high school. Here, too, we take a look at some demographic data from the Census Bureau’s 2012 American Community Survey."
4,two_col-1192.txt,How to U.S Handle Illegally? Immigrants Living,"How to U.S Handle Illegally? Immigrants Living  | lin the U.S Illegally? Immigrants  | 71%  | There should be  | a sway for them  | 2% Don't know-  | to stay legally  | 27%  | Should not  | be allowed to  | 43%  | stay legally  | Be eligible  | for citizenship  | 24%  | Be eligible  | for permanent  | 4%  | residency  | Don't  | know  | PEW RESEARCH CENTER March 13-17, 2013, ",pew/dataset/imgs/two_col-1192.png,"A survey in March found that 71% of Americans say there should be a way for people in the United States illegally to remain in this country if they meet certain requirements, while 27% say they should not be allowed to stay legally.
But there is a division of views among the 71% who support finding a way for immigrants here illegally to stay.
Roughly four-in-ten (43%) of the public says unauthorized immigrants should be allowed to apply for citizenship, but 24% of the public says they should only be allowed to apply for legal residency.","A new survey finds that seven-in-ten Americans (71%) say there should be a way for people in the United States illegally to remain in this country if they meet certain requirements, while 27% do not know. Most who favor providing illegal immigrants with some form of legal status –43% of the public – say they should be allowed to stay legally.","A new survey finds that seven-in-ten Americans (71%) say there should be a way for people in the United States illegally to remain in this country if they meet certain requirements, while 27% say they should not be allowed to stay legally. Most who favor providing illegal immigrants with some form of legal status –43% of the public – say they should be allowed to apply for citizenship, but 24% of the public says they should only be allowed to apply for legal residency."
5,multi_col-624.txt,Democrats with less education more likely to split with party on abortion % of U.S. adults who say they agree or don't agree with their party on abortion policy Among Republicans/ lean Rep.,"Democrats with less education more likely to split with party on abortion  | % of U.S. adults who say they agree or don't agree with their party on abortion policy  | Among Republicans/ lean Rep.  | Among Democrats/ lean Dem.  | SENET Agree Agree with  | Don It  | SENET Agree Agree with  | Don't  | NET Don't  | SENET Don't  | with  | agree with agree with  | with  | agree with agree with  | with own  | with own  | Dems either party own party  | Reps either party own party  | party  | party  | Total  | Total  | 64%  | 12% 23%  | 35%  | 70%  | % 22%  | 29%  | grad. High school less  | High school  | 62  | 10  | 27  | 37  | 56  | 33  | 42  | grad. High or school less  | grad. High or less  | Some college  | Some college  | 68  | 10 22  | 32  | 70  | 5 24  | 29  | graduate+ College  | graduate+ College  | 64  | 19  | 17  | 36  | 84  | 5 10  | 16  | graduate+ College  | graduate+ College  | 15  | 55  | 30  | 45  | 68  | 8  | 22  | 30  | Ages 18-29  | Ages 18-29  | 57  | 19  | 24  | 68  | 23  | 30-49  | 42  | 30-49  | 30  | 5 24  | 68  | 21  | 30  | 69  | 29  | 50-64  | 9  | 50-64  | 74  | 19  | 76  | 19  | 23  | 65+  | 65+  | 25  | Note: Those who did not answer are not shown  | Source: Survey of U.S adults conducted July 22-Aug. 4, 2019  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-624.png,"Overall, roughly one-third of Americans who identify as Republican or as Republican-leaning independents do not agree with their party on abortion (35%), including 12% who say they agree with the Democratic Party on abortion and 23% who say they do not agree with either party. Among Democrats and Democratic-leaning independents, three-in-ten do not agree with their party on abortion, including 7% who say they agree with the GOP and 22% who say they don’t agree with either party. (The same 2019 survey found that roughly a fifth to a third of Americans don’t agree with their party on issues including policies to deal with the economy, health care and illegal immigration.)","Among Democrats and Democratic-leaning independents, those with a high school diploma or less education are more likely to agree with their party on abortion than those with some college experience or high school education. For example, 62% of Democrats ages 18 to 29 say they agree with the Democratic Party on abortion policy, compared with just 33% of Republicans with a college degree. Among Republicans and Republican leaners, these shares are 9 points and 9 points, respectively.","Overall, roughly one-third of Democrats with a high school diploma or less education (37%) say they agree with their party on abortion policy, compared with just 7% of Democrats with a bachelor’s degree or higher. Among Democrats with a high school diploma or less education, 62% say they agree with the Democratic Party on abortion policy, compared with just 5% of those who say they agree with the GOP."
6,multi_col-5177.txt,Wide Racial Divides Persist over Fair Treatment of Blacks % saying blacks in their community are treated less fairly than whites In dealing with the police In the courts In stores or restaurants,"Wide Racial Divides Persist over  | Fair Treatment of Blacks  | % saying blacks in their community are treated less  | fairly than whites  | In dealing with the police  | Whites  | 70  | Blacks  | Hispanics  | In the courts  | Whites  | Blacks  | 68  | 40  | Hispanics  | On the job or at work  | Whites  | 16  | Blacks  | 54  | 40  | Hispanics  | In stores or restaurants  | Whites  | 16  | Blacks  | 35  | Hispanics  | In local publicschools  | Whites  | 15  | Blacks  | 51  | Hispanics  | In getting health care  | Whites  | 14  | Blacks  | Hispanics  | 36  | When voting in elections  | Whites  | 13  | 48  | Blacks  | 30  | Hispanics  | Note: Blacks and whites include only non-Hispanics  | Hispanics Note: Blacks n=376; may and be for whites of Hispanics any include race For n=218, only whites non-Hispanics n=1,471; for  | PEW RESEARCH CENTER  | Q13 ",pew/dataset/imgs/multi_col-5177.png,"Seven-in-ten blacks said that blacks in their community were treated less fairly than whites in dealings with the police. In comparison, 37% of whites and 51% of Hispanics held that view. Also, 68% of blacks said that the court system was unfair to blacks, far more than whites (27%) or Hispanics (40%).","Among blacks, just 32% said the country had made a lot of progress since the 1960s and about eight-in-ten (79%) said a lot more work needs to be done. Whites have a sunnier outlook: About half (51%) said people in their community were treated less fairly than whites in dealing with the police and about as many (68%) said the same about the courts.","Among blacks, just 32% said the country had made a lot of progress since the 1960s and about eight-in-ten (79%) said a lot more work needs to be done. Whites have a sunnier outlook: About two-thirds (68%) said blacks in their community were treated less fairly than whites in dealing with the police and 68% said the same about the courts."
7,two_col-292.txt,The most-active Twitter bots produce a large share of the links to popular news and current events websites Share of tweeted links to popular news and currentevents websites posted,"The most-active Twitter bots produce a large share of  | the links to popular news and current events websites  | Share of tweeted links to popular news and currentevents websites posted  | by  | Suspected bots  | Human accounts  | 66%  | 34%  | 28  | 22  | 44  | 500 most-active accounts  | 500 most-active accounts  | Source: Analysis of379 .841 tweeted links to 925 popular news and currentevents  | websites collected over the time period July27-Sept. 11 2017.  | ""Bots in the Twittersphere  | PEW RESEARCH CENTER ",pew/dataset/imgs/two_col-292.png,"18“Bots” on Twitter may be behind more link sharing than human beings. An estimated two-thirds of tweeted links to popular news and media websites (66%) are posted by automated accounts, while around a third (34%) are posted by human accounts, based on a sample of tweets from 2017. A relatively small number of highly active bots appear to be responsible for many of those links.","Suspected bots also accounted for 66% of tweeted links to popular news and current events websites. That’s a lower share than for sites that were “born on the web”, but higher than for those who were born on the internet. Democratic and Republican-leaning websites, those with more than 1 million followers, and those with less than a home page were more likely to be linked to sites on the site.","Suspected bots also accounted for 34% of tweeted links to the most active news and current events websites, a share higher than the overall share of the site’s traffic. But these highly-active bots also accounted for 28% of tweeted links to news and current events websites, compared with a slightly smaller share of the most-active 500 accounts."
8,multi_col-3250.txt,Consistent partisan gaps in favorable views of unions and corporations % who have a favorable view of La bor unions,Consistent partisan gaps in favorable  | views of unions and corporations  | % who have a favorable view of  | La bor unions  | Dem/Lean Dem  | Rep/Lean Rep  | 01  | 03 05 07 09 11 13 15 17  | Business corporations  | Rep/Lean Rep  | 70  | 46  | Dem/Lean Dem  | 03  | 05 07  | 01  | 09  | 11  | 13 15 17  | Source: Survey conducted Jan. 4-9 2017.  | PEW RESEARCH CENTER ,pew/dataset/imgs/multi_col-3250.png,"Republicans and Democrats have long been divided in their views of labor and business, and that remains the case today: Democrats and Democratic-leaning independents are much more favorable toward labor unions than business corporations, while the inverse is true for Republicans and Republican leaners.
Currently, 76% of Democrats hold a favorable view of unions, while only two-in-ten express an unfavorable one. Among Republicans, fewer than half (44%) say they have a favorable opinion of labor unions.
On the other hand, seven-in-ten Republicans express a positive opinion of business corporations. Democrats are divided: Roughly equal shares say they have a favorable view of business (46%) and an unfavorable one (47%).","Views of labor unions have fluctuated modestly over the past two decades, but have become more positive than they were during the Great Recession.","Views of labor unions have fluctuated modestly over the past two decades, but have become more positive than they were during the Great Recession."
9,multi_col-1318.txt,"Broad public opposition to completely overturning Roe V. Wade Would you like to see the Supreme Court completely overturn its Roe versus Wade decision, or not? (%","Broad public opposition to completely  | overturning Roe V. Wade  | Would you like to see the Supreme Court completely  | overturn its Roe versus Wade decision, or not? (%  | 69  | 70  | No, do not  | 62  | 63  | 60  | overturn  | Yes, overturn  | 28  | 28  | 29  | 31  | 34  | Roe v. Wade  | Aug  | Dec  | Aug  | Jan  | Jan  | '92*  | '03  | 13  | 16  | 19  | Notes: No answer responses not shown. 2019 data from Pew  | Research Center's online American Trends Panel; prior data from  | telephone surveys.  | * 1992 data from Gallup and based on registered voters  | Source: Survey of U.S adults conducted July 22-Aug 4. 2019  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-1318.png,"The new survey by Pew Research Center, conducted July 22-August 4 among 4,175 adults, also finds little support for overturning Roe v. Wade, the landmark Supreme Court decision that established a woman’s right to an abortion. Seven-in-ten say they do not want to see the Roe v. Wade decision completely overturned; 28% say they would like to see the Supreme Court completely overturn the 1973 decision.","More than 40 years after Roe v. Wade, 69% of Americans say the historic ruling, which established a woman’s constitutional right to abortion in the first three months of pregnancy, should not be completely overturned. Nearly three-in-ten (28%), by contrast, would like to see it overturned.","More than 40 years after the Supreme Court’s Roe v. Wade decision, a large majority of Americans (62%) want to see it overturned. Nearly three-in-ten (28%) say they would like to see the decision overturned, while just 28% say they would not."
