Date,.,No partisan lean,Democrat/Lean Dem,Republican/Lean Rep
3/25/2019,PEW,22,14,21
12/04/2017,PEW,15,15,22
4/11/2017,PEW,12,15,28
10/04/2015,PEW,16,26,11
7/20/2014,CNN,8,17,11
2/26/2014,PEW,19,32,16
11/15/2013,CBS/NYT,12,31,8
10/13/2013,PEW,17,27,10
5/31/2013,CBS/NYT,20,30,8
2/06/2013,CBS/NYT,15,34,8
1/13/2013,PEW,15,37,15
10/31/2012,NES,15,29,16
10/19/2011,CBS/NYT,10,13,8
10/04/2011,PEW,17,27,12
9/23/2011,CNN,6,20,11
8/21/2011,PEW,12,25,13
3/01/2011,PEW,27,34,24
10/21/2010,CBS/NYT,18,36,7
10/01/2010,CBS/NYT,15,27,13
9/06/2010,PEW,15,35,13
9/01/2010,CNN,13,31,18
4/05/2010,CBS/NYT,18,27,14
3/21/2010,PEW,18,32,13
2/12/2010,CNN,19,34,18
2/05/2010,CBS/NYT,17,31,9
1/10/2010,GALLUP,11,23,16
12/20/2009,CNN,15,25,16
8/31/2009,CBS/NYT,22,34,12
6/12/2009,CBS/NYT,12,35,10
12/21/2008,CNN,19,30,22
10/15/2008,NES,28,34,31
10/13/2008,CBS/NYT,28,12,19
7/09/2007,CBS/NYT,22,18,31
1/09/2007,PEW,32,22,43
10/08/2006,CBS/NYT,19,20,50
9/15/2006,CBS/NYT,21,20,44
2/05/2006,PEW,26,20,53
1/20/2006,CBS/NYT,25,23,51
1/06/2006,GALLUP,15,20,44
12/02/2005,CBS/NYT,29,19,52
9/11/2005,PEW,20,19,49
9/09/2005,CBS/NYT,28,21,42
6/19/2005,GALLUP,24,24,36
10/15/2004,NES,42,62,37
3/21/2004,PEW,31,24,55
10/26/2003,GALLUP,22,35,42
7/27/2003,CBS/NYT,29,25,51
10/15/2002,NES,52,52,63
9/04/2002,GALLUP,46,38,55
9/02/2002,CBS/NYT,32,32,52
7/13/2002,CBS/NYT,28,34,45
6/17/2002,GALLUP,40,33,55
1/24/2002,CBS/NYT,37,39,56
12/07/2001,CBS/NYT,45,39,60
10/25/2001,CBS/NYT,50,47,70
10/06/2001,GALLUP,53,52,68
1/17/2001,CBS/NYT,27,26,38
10/15/2000,NES,41,48,43
7/09/2000,GALLUP,40,42,41
4/02/2000,ABC/POST,23,38,24
2/14/2000,PEW,32,46,37
10/03/1999,CBS/NYT,33,31,27
9/14/1999,CBS/NYT,32,42,35
5/16/1999,PEW,21,36,30
2/21/1999,PEW,28,35,25
2/12/1999,ABC/POST,29,41,21
2/04/1999,GALLUP,28,38,29
1/10/1999,CBS/NYT,22,42,33
1/03/1999,CBS/NYT,28,37,29
12/01/1998,NES,39,45,35
11/19/1998,PEW,20,31,23
11/01/1998,CBS/NYT,18,28,22
